Committee ,	Link
Data Science ,	https://chat.whatsapp.com/EkdGAJ6rBws4HgD2s7oX5Zd
Machine Learning ,	https://chat.whatsapp.com/LHnpVygAVa9O8LN8Bpp3g6V
Front End ,	https://chat.whatsapp.com/DmrBUEgueif0Vq1LCU2jgSO
UI UX ,	https://chat.whatsapp.com/KkPldjSGgqO7XKmLgTgUGeh
Human Resources ,	https://chat.whatsapp.com/Hg2PfmSqDNwaBu0Ov1WgxAm
Networking ,	https://chat.whatsapp.com/DkNluARNIVg66nbgUa7B8Ow
Graphics ,	https://chat.whatsapp.com/JkDBxfgeyoSfFvAgkwxaEmp
Embedded Systems ,	https://chat.whatsapp.com/G9hhw60gTLOW2hTafuEnGYH
Public Relations ,	https://chat.whatsapp.com/J4MxKgZrBXiE7HTYl06nrBs
Programming ,	https://chat.whatsapp.com/DRnVqxMCn4JgEJgMuKhnCWeE
Robotic ,	https://chat.whatsapp.com/I2iGQuqcmgCyLTimHRRgmPW
Back End ,	https://chat.whatsapp.com/EcrDOkRfgg5mH33OyZ3unJdD
Marketing ,	https://chat.whatsapp.com/ImgHyBkg9tg2H4cLOgyE9AZx
Mobile App ,	https://chat.whatsapp.com/GVsdgV7VE74gQFy60dxfm8F8
Organizing Committee ,	https://chat.whatsapp.com/ClB7UsZggzSnpGWVgwrUz6Il
